2025-07-26 21:22:22 - trafficanalyzer.py - INFO - TrafficAnalyzer initialized for interface: wlan0
2025-07-26 21:22:22 - trafficanalyzer.py - INFO - Sniffing thread started on interface: wlan0
2025-07-26 21:22:22 - trafficanalyzer.py - INFO - Traffic analysis started.
2025-07-26 21:22:22 - trafficanalyzer.py - ERROR - An error occurred during sniffing: Interface 'wlan0' not found !
2025-07-26 21:22:22 - trafficanalyzer.py - INFO - Sniffing thread stopped.
2025-07-26 21:22:32 - trafficanalyzer.py - WARNING - Traffic analysis is not running.
2025-07-26 21:22:48 - trafficanalyzer.py - INFO - TrafficAnalyzer initialized for interface: default
2025-07-26 21:22:48 - trafficanalyzer.py - INFO - Sniffing thread started on interface: auto
2025-07-26 21:22:48 - trafficanalyzer.py - INFO - Traffic analysis started.
2025-07-26 21:22:48 - trafficanalyzer.py - INFO - Sniffing thread stopped.
2025-07-26 21:22:58 - trafficanalyzer.py - WARNING - Traffic analysis is not running.
2025-07-26 22:04:09 - trafficanalyzer.py - INFO - TrafficAnalyzer initialized for interface: default
2025-07-26 22:04:09 - trafficanalyzer.py - INFO - Sniffing thread started on interface: auto
2025-07-26 22:04:09 - trafficanalyzer.py - INFO - Traffic analysis started.
2025-07-27 21:46:59 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616819.3634126, 'sender_ip': '192.168.0.25', 'sender_mac': 'c8:15:4e:42:1f:44', 'target_ip': '169.254.169.254'}
2025-07-27 21:47:00 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616820.87619, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.50'}
2025-07-27 21:47:01 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616821.896853, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.181'}
2025-07-27 21:47:05 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616825.0701916, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.192'}
2025-07-27 21:47:07 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616827.2316308, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.78'}
2025-07-27 21:47:07 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616827.2326303, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.177'}
2025-07-27 21:47:26 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616846.1752255, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.25'}
2025-07-27 21:48:50 - trafficanalyzer.py - INFO - TrafficAnalyzer initialized for interface: default
2025-07-27 21:48:50 - trafficanalyzer.py - INFO - Sniffing thread started on interface: auto
2025-07-27 21:48:50 - trafficanalyzer.py - INFO - Traffic analysis started.
2025-07-27 21:48:59 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616939.0480776, 'sender_ip': '192.168.0.25', 'sender_mac': 'c8:15:4e:42:1f:44', 'target_ip': '169.254.169.254'}
2025-07-27 21:48:59 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616939.8645213, 'sender_ip': '192.168.0.25', 'sender_mac': 'c8:15:4e:42:1f:44', 'target_ip': '169.254.169.254'}
2025-07-27 21:49:00 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616940.8646424, 'sender_ip': '192.168.0.25', 'sender_mac': 'c8:15:4e:42:1f:44', 'target_ip': '169.254.169.254'}
2025-07-27 21:49:10 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616950.004675, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.14'}
2025-07-27 21:49:12 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616952.6685858, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.175'}
2025-07-27 21:49:18 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616958.2003963, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.50'}
2025-07-27 21:49:19 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616959.2258227, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.181'}
